segment_idx,visible_edges
62,"18,54;36,54;36,63;37,54;53,54;53,63;54,18;54,35;54,36;54,37;54,53;54,62;54,63;54,73;62,54;62,63;63,36;63,53;63,54;63,62;63,72;63,73;63,88;73,54;73,63;88,63"
63,"18,54;35,54;36,54;36,63;37,54;53,54;54,18;54,35;54,36;54,37;54,53;54,62;54,63;54,73;63,36;63,54;73,54"
64,"1,36;18,36;18,54;19,36;35,36;35,37;35,54;36,1;36,17;36,18;36,19;36,35;36,37;36,53;36,54;36,63;37,35;37,36;37,54;53,36;53,54;54,18;54,35;54,36;54,37;54,53;54,62;54,63;54,73;63,36;63,54;73,54"
65,"2,19;2,37;3,19;17,19;18,19;19,1;19,2;19,3;19,17;19,18;19,36;19,37;20,21;20,22;21,20;22,20;36,19;37,2;37,19"
66,"20,4;20,21;20,22;21,20;22,20"
67,"3,20;4,20;4,21;20,3;20,4;20,21;20,22;21,3;21,4;21,5;21,20;21,22;21,23;22,20;22,21;23,21"
68,"3,20;3,21;4,21;20,3;20,4;20,21;20,22;21,3;21,4;21,5;21,20;21,22;21,23;22,20;22,21;23,21"
69,"4,21;5,21;5,22;20,21;20,22;21,3;21,4;21,5;21,20;21,22;21,23;22,4;22,5;22,6;22,20;22,21;22,23;22,24;22,41;23,21;23,22;24,22"
70,"4,21;4,22;5,22;20,21;20,22;21,3;21,4;21,5;21,20;21,22;21,23;22,4;22,5;22,6;22,20;22,21;22,23;22,24;22,41;23,21;23,22;24,22;41,22"
71,"5,22;5,23;6,22;6,23;6,41;20,22;21,22;21,23;22,4;22,5;22,6;22,20;22,21;22,23;22,24;22,41;23,5;23,6;23,7;23,21;23,22;23,24;23,25;23,41;23,42;23,56;24,22;24,23;25,23;41,6;41,22;41,23;56,23"
72,"6,23;6,41;21,23;22,23;22,24;22,41;23,5;23,6;23,7;23,21;23,22;23,24;23,25;23,41;23,42;23,56;24,22;24,23;24,41;25,23;41,6;41,22;41,23;41,24;42,23;56,23"
73,"7,42;23,42;24,42;24,57;41,42;41,43;41,57;42,7;42,23;42,24;42,25;42,41;42,43;42,44;42,56;42,57;42,58;42,67;43,41;43,42;44,42;56,42;56,57;56,58;57,24;57,41;57,42;57,43;57,56;57,58;57,66;57,67;57,68;57,77;58,42;58,56;58,57;67,42;67,57;77,57"
74,"24,57;41,57;42,56;42,57;42,67;43,57;56,42;56,57;56,58;56,67;57,24;57,41;57,42;57,43;57,56;57,58;57,66;57,67;57,68;57,77;58,56;58,57;66,57;67,42;67,56;67,57;77,57"
75,"24,57;42,57;42,67;56,57;56,58;56,67;57,24;57,41;57,42;57,43;57,56;57,58;57,66;57,67;57,68;57,77;58,56;58,57;65,67;66,57;66,67;66,68;66,77;67,42;67,56;67,57;67,58;67,65;67,66;67,68;67,76;67,77;67,78;67,92;68,66;68,67;76,67;77,57;77,66;77,67;92,67"
76,"65,66;65,67;65,75;65,76;66,65;66,75;66,76;66,91;67,65;67,76;75,65;75,66;75,76;75,77;76,65;76,66;76,67;76,75;77,75;91,66"
77,"65,66;65,67;65,75;65,76;66,65;66,75;67,65;75,65;75,66;75,76;75,77;75,91;76,65;76,75;77,75"
78,"65,75;66,75;75,65;75,66"
79,"65,66;65,67;65,75;65,76;66,65;66,75;67,65;75,65;75,66;76,65"
80,"65,66;65,67;65,75;65,76;66,65;66,75;67,65;75,65;75,66;75,76;75,77;75,91;76,65;76,75;77,75"
81,"65,66;65,67;65,75;65,76;66,65;66,75;67,65;75,65;75,66;75,76;75,77;75,91;76,65;76,75;77,75;91,75"
82,"65,75;66,75;75,65;75,66;75,76;75,77;75,91;76,75;77,75;91,75"
83,"65,75;75,65;75,66;75,76;75,77;75,91;76,75;77,75;91,75"
84,"65,75;75,65;75,66;75,76;75,77;75,91;76,75;77,75;91,75"
85,"65,75;66,75;75,65;75,66;75,76;75,77;75,91;76,75;77,75;91,75"
86,"65,75;65,76;66,75;66,76;66,91;75,65;75,66;75,76;75,77;75,91;76,65;76,66;76,67;76,75;76,77;76,78;76,91;76,92;76,104;77,75;77,76;78,76;91,66;91,75;91,76;92,76;104,76"
87,"67,92;76,92;77,91;77,92;77,105;91,92;91,93;91,105;92,67;92,76;92,77;92,78;92,91;92,93;92,94;92,104;92,105;92,106;92,120;93,91;93,92;94,92;104,92;105,77;105,91;105,92;120,92"
88,"77,105;91,105;92,104;92,105;92,120;104,92;104,105;104,106;105,77;105,91;105,92;105,93;105,104;105,106;105,119;105,120;105,121;105,138;106,104;106,105;119,105;120,92;120,105;138,105"
89,"77,105;91,105;92,105;92,120;104,105;104,106;104,120;105,77;105,91;105,92;105,93;105,104;105,106;105,119;105,120;105,121;105,138;106,104;106,105;119,105;120,92;120,104;120,105;138,105"
90,"77,105;92,105;92,120;104,105;104,106;104,120;105,77;105,91;105,92;105,93;105,104;105,106;105,119;105,120;105,121;105,138;106,104;106,105;118,120;119,105;119,120;119,121;120,92;120,104;120,105;120,106;120,118;120,119;120,121;120,122;120,137;120,138;120,151;121,119;121,120;122,120;137,120;138,105;138,120;151,120"
91,"93,121;105,121;106,121;119,121;120,121;120,122;121,93;121,105;121,106;121,119;121,120;121,122;121,123;121,138;122,120;122,121;123,121;138,121"
92,"93,121;106,121;106,122;119,121;120,121;120,122;121,93;121,105;121,106;121,119;121,120;121,122;121,123;121,138;122,106;122,120;122,121;122,123;122,124;123,121;123,122;124,122"
93,"106,122;120,122;121,122;121,123;122,106;122,120;122,121;122,123;122,124;123,121;123,122;124,122"
94,"95,123;107,123;120,122;121,122;121,123;122,106;122,120;122,121;122,123;122,124;123,95;123,107;123,108;123,121;123,122;123,124;123,125;124,122;124,123;125,123"
95,"95,123;107,123;107,124;108,123;121,123;122,123;122,124;123,95;123,107;123,108;123,121;123,122;123,124;123,125;124,122;124,123;125,123"
96,"95,123;96,124;107,123;107,124;108,123;108,124;121,123;122,123;122,124;123,95;123,107;123,108;123,121;123,122;123,124;123,125;124,96;124,107;124,108;124,109;124,122;124,123;124,125;124,126;125,123;125,124;126,124"
97,"96,124;107,124;108,124;108,125;109,124;122,124;123,124;123,125;124,96;124,107;124,108;124,109;124,122;124,123;124,125;124,126;125,108;125,123;125,124;126,124"
98,"96,124;97,125;108,124;108,125;109,124;109,125;122,124;123,124;123,125;124,96;124,107;124,108;124,109;124,122;124,123;124,125;124,126;125,97;125,108;125,109;125,123;125,124;125,126;125,127;125,139;126,124;126,125;127,125"
99,"97,125;108,125;109,125;109,126;123,125;124,125;124,126;125,97;125,108;125,109;125,123;125,124;125,126;125,127;125,139;126,109;126,124;126,125;126,127;126,128;126,139;126,140;126,152;127,125;127,126;128,126;139,125;139,126;152,126"
100,"125,139;126,139;126,140;126,152;127,139;139,125;139,126;139,127;139,140;139,141;139,152;139,153;140,126;140,139;140,152;141,139;152,126;152,139;152,140;153,139"
101,"126,139;126,152;139,125;139,126;139,127;139,140;139,141;139,152;139,153;140,139;140,152;141,139;152,126;152,139;152,140;152,153;152,154;153,139;153,152;154,152"
