segment_idx,visible_edges,edge_count
48,"82,96;83,96;83,97;84,96;84,97;85,97;95,96;96,82;96,83;96,84;96,95;96,97;96,107;96,108;96,109;97,83;97,84;97,85;97,96;97,108;97,109;97,110;107,96;108,96;108,97;108,109;109,96;109,97;109,108;109,110;110,97;110,109",32
49,"82,96;83,96;83,97;84,96;84,97;85,97;85,98;86,98;95,96;96,82;96,83;96,84;96,95;96,97;96,107;96,108;96,109;97,83;97,84;97,85;97,96;97,108;97,109;97,110;98,85;98,86;98,87;98,99;98,110;98,111;98,112;99,98;107,96;108,96;108,97;108,109;109,96;109,97;109,108;109,110;110,97;110,98;110,109;110,111;111,98;111,110;112,98",47
50,"83,97;84,97;85,97;85,98;86,98;96,97;96,109;97,83;97,84;97,85;97,96;97,108;97,109;97,110;98,85;98,86;98,110;108,97;109,96;109,97;109,110;110,97;110,98;110,109;110,111;111,110",26
51,"83,97;84,97;85,86;85,97;85,98;86,85;96,97;96,109;97,83;97,84;97,85;97,96;97,108;97,109;97,110;98,85;98,110;108,97;108,109;109,96;109,97;109,108;109,110;110,97;110,98;110,109;110,111;111,110",28
52,"85,86;85,98;86,85;86,87;86,98;86,99;87,86;87,98;87,99;88,99;98,85;98,86;98,87;98,99;98,110;98,111;98,112;99,86;99,87;99,88;99,98;99,100;99,111;99,112;99,113;100,99;110,98;110,111;111,98;111,99;111,110;111,112;112,98;112,99;112,111;113,99",36
53,"86,99;87,99;87,100;88,99;88,100;89,100;98,99;98,112;99,86;99,87;99,88;99,98;99,100;99,111;99,112;99,113;100,87;100,88;100,89;100,99;100,101;100,112;100,113;100,114;101,100;101,113;111,99;111,112;112,98;112,99;112,100;112,111;112,113;112,119;112,120;113,99;113,100;113,101;113,112;113,114;113,119;113,120;113,121;114,100;114,113;114,120;119,112;119,113;120,112;120,113;120,114;121,113",52
54,"99,113;100,113;101,113;112,113;112,119;112,120;113,99;113,100;113,101;113,112;113,114;113,119;113,120;113,121;114,113;114,120;119,112;119,113;119,120;119,128;119,129;120,112;120,113;120,114;120,119;120,121;120,128;120,129;120,130;121,113;121,120;121,129;128,119;128,120;128,129;129,119;129,120;129,121;129,128;129,130;129,137;129,138;129,139;130,120;130,129;137,129;138,129;139,129",48
55,"112,120;113,120;113,121;114,120;119,120;119,128;119,129;120,112;120,113;120,114;120,119;120,121;120,128;120,129;120,130;121,113;121,120;121,129;127,128;128,119;128,120;128,127;128,129;128,136;128,137;128,138;129,119;129,120;129,121;129,128;129,130;129,137;129,138;129,139;130,120;130,129;130,138;136,128;137,128;137,129;137,138;138,128;138,129;138,130;138,137;138,139;138,144;138,145;138,146;139,129;139,138;144,138;145,138;146,138",54
56,"127,128;127,136;127,137;128,127;128,136;128,137;129,137;136,127;136,128;136,137;136,144;137,127;137,128;137,129;137,136;137,138;137,144;137,145;138,137;138,144;144,136;144,137;144,138;145,137",24
57,"119,120;119,128;119,129;120,119;120,128;120,129;121,129;127,128;127,136;127,137;128,119;128,120;128,127;128,129;128,136;128,137;128,138;129,119;129,120;129,121;129,128;129,130;129,137;129,138;129,139;130,129;136,127;136,128;136,137;136,144;137,127;137,128;137,129;137,136;137,138;137,144;137,145;138,128;138,129;138,137;138,144;139,129;144,136;144,137;144,138;145,137",46
