edge_start_node,edge_end_node,visible_segments,segment_count
89,90,,0
89,100,21;53,2
89,101,,0
89,102,,0
90,76,,0
90,77,,0
90,89,,0
90,101,,0
90,102,,0
91,78,,0
91,79,8;9,2
91,92,85,1
91,103,,0
91,104,84;85,2
92,78,85,1
92,79,8;9;85,3
92,80,85,1
92,91,85,1
92,93,43;85,2
92,103,85,1
92,104,84;85,2
92,105,85,1
93,79,8;9;43,3
93,80,43,1
93,81,43;44,2
93,92,43;85,2
93,94,43;11;12;44,4
93,104,43;84;85,3
93,105,11;43;85,3
93,106,43;11,2
94,80,43;11;12;44,4
94,81,43;11;12;45;44,5
94,82,43;11;12;45;44,5
94,93,43;11;12;44,4
94,95,43;11;12;44;15;45;47,7
94,105,43;11;12;44;85,5
94,106,43;11;12;44,4
94,107,43;11;12;44,4
95,81,43;11;12;44;15;45;47,7
95,82,43;11;12;44;15;45;47,7
95,83,43;11;12;44;15;45;47;18,8
95,94,43;11;12;44;15;45;47,7
95,96,43;11;12;44;15;16;45;47;48;49,10
95,106,43;11;12;44;15;45;47,7
95,107,43;11;12;44;15;45;47,7
95,108,43;11;12;44;15;45;46;47,8
96,82,43;12;45;44;15;16;47;48;49,9
96,83,12;45;44;15;16;47;18;48;49,9
96,84,12;45;46;15;16;47;18;48;49,9
96,95,43;11;12;44;15;16;45;47;48;49,10
96,97,12;45;46;15;16;17;18;47;48;49;50;51,12
96,107,11;12;45;15;16;47;48;49,8
96,108,11;12;45;46;15;16;47;48;49,9
96,109,12;45;46;15;16;47;48;49;51;50,10
97,83,45;46;15;16;17;18;47;48;49;50;51,11
97,84,46;15;16;17;18;47;48;49;50;51,10
97,85,46;15;16;17;18;47;48;49;22;50;51,11
97,96,12;45;46;15;16;17;18;47;48;49;50;51,12
97,108,12;46;15;16;17;18;47;48;49;50;51,11
97,109,46;15;16;17;18;47;48;49;50;51,10
97,110,46;15;16;17;18;47;48;49;50;51,10
98,85,17;18;19;49;52;22;50;51,8
98,86,17;50;19;52;49,5
98,87,17;19;52;49,4
98,99,17;49;19;52;53,5
98,110,46;17;50;19;49;51;52,7
98,111,17;19;52;49,4
98,112,17;49;19;52;53,5
99,86,52;53,2
99,87,52;53,2
99,88,53;52;21,3
99,98,17;49;19;52;53,5
99,100,52;53,2
99,111,19;52;53,3
99,112,19;52;53,3
99,113,52;53;54,3
100,87,53,1
100,88,53;21,2
100,89,21;53,2
100,99,52;53,2
100,101,53,1
100,112,53,1
100,113,53;54,2
100,114,53,1
101,88,21,1
101,89,,0
101,90,,0
101,100,53,1
101,102,,0
101,113,53;54,2
101,114,,0
101,115,,0
102,89,,0
102,90,,0
102,101,,0
102,114,,0
102,115,,0
103,91,,0
103,92,85,1
103,104,84;85,2
103,116,,0
103,117,84;85,2
104,91,84;85,2
104,92,84;85,2
104,93,43;84;85,3
104,103,84;85,2
104,105,84;85,2
104,116,84;85,2
104,117,84;85,2
104,118,81;84;85,3
105,92,85,1
105,93,11;43;85,3
105,94,43;11;12;44;85,5
105,104,84;85,2
105,106,43;11;85,3
105,117,84;85,2
105,118,81;84;85,3
106,93,43;11,2
106,94,43;11;12;44,4
106,95,43;11;12;44;15;45;47,7
106,105,43;11;85,3
106,107,43;11;12;44,4
107,94,43;11;12;44,4
107,95,43;11;12;44;15;45;47,7
107,96,11;12;45;15;16;47;48;49,8
107,106,43;11;12;44,4
107,108,11;12;45;46;47,5
108,95,43;11;12;44;15;45;46;47,8
108,96,11;12;45;46;15;16;47;48;49,9
108,97,12;46;15;16;17;18;47;48;49;50;51,11
108,107,11;12;45;46;47,5
108,109,46;47;48;49;51,5
109,96,12;45;46;15;16;47;48;49;51;50,10
109,97,46;15;16;17;18;47;48;49;50;51,10
109,108,46;47;48;49;51,5
109,110,46;48;49;50;51,5
110,97,46;15;16;17;18;47;48;49;50;51,10
110,98,46;17;50;19;49;51;52,7
110,109,46;48;49;50;51,5
110,111,46;49;50;19;51;52,6
111,98,17;19;52;49,4
111,99,19;52;53,3
111,110,46;49;50;19;51;52,6
111,112,19;52;53,3
112,98,17;49;19;52;53,5
112,99,19;52;53,3
112,100,53,1
112,111,19;52;53,3
112,113,53;54,2
112,119,53;54,2
112,120,53;54;55,3
113,99,52;53;54,3
113,100,53;54,2
113,101,53;54,2
113,112,53;54,2
113,114,53;54,2
113,119,53;54,2
113,120,53;54;55,3
113,121,53;54;55,3
114,100,53,1
114,101,,0
114,102,,0
114,113,53;54,2
114,115,,0
114,120,53;54;55,3
114,121,,0
114,122,,0
